type,RandomForestClassifier,SGDClassifier,LinearSVC,NearestCentroid
explicit agreement,0.5978260869565227,0.6086956521739139,0.6195652173913045,0.48913043478260915
other,0.0,0.0,0.0,0.0
other and explicit agreement,0.6,0.6,0.4000000000000001,0.0
positive reference,0.0,0.375,0.375,0.125
positive reference and explicit agreement,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0
positive reference and other and explicit agreement,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
praise thanking,0.7222222222222219,0.8333333333333335,0.6111111111111109,0.44444444444444453
praise thanking and explicit agreement,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.41176470588235303
praise thanking and positive reference,0.75,0.75,0.75,0.5
praise thanking and positive reference and explicit agreement,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
praise thanking and positive reference and other,1.0,1.0,1.0,0.0
