page title,opinions
Discusión:Mauricio Macri,4180
Talk:Donald Trump,1914
Discusión:Enrique Peña Nieto,1231
Talk:Justin Trudeau,673
Discusión:Donald Trump,648
Discusión:Nicolás Maduro,588
Talk:Enrique Peña Nieto,552
Discusión:Rafael Correa,304
Discusión:Tabaré Vázquez,244
Discusión:Evo Morales,236
Talk:Michel Temer,232
Discusión:Pedro Pablo Kuczynski,177
Talk:Rafael Correa,167
Discusión:Michelle Bachelet,113
Talk:Pedro Pablo Kuczynski,100
Discusión:Raúl Castro,96
Talk:Evo Morales,94
Discusión:Juan Orlando Hernández,92
Talk:Michelle Bachelet,91
Talk:Juan Orlando Hernández,64
Talk:Dési Bouterse,63
Talk:Juan Manuel Santos,32
Talk:Jimmy Morales,31
Talk:Dean Barrow,30
Talk:Tabaré Vázquez,27
Talk:Salvador Sánchez Cerén,22
Talk:Nicolás Maduro,20
Talk:Andrew Holness,19
Talk:Danilo Medina,18
Talk:Horacio Cartes,14
Talk:Mauricio Macri,7
Talk:Juan Carlos Varela,6
Discusión:Jimmy Morales,4
Discusión:Horacio Cartes,4
Talk:Luis Guillermo Solís,3
Discusión:Luis Guillermo Solís,3
Discusión:Danilo Medina,3
Discusión:Dean Barrow,1
Discusión:Juan Manuel Santos,1
