type,f1random,f1NB,f1SGD,f1LinearSVC
agreement,0.5384615384615384,0.0,0.6153846153846152,0.6153846153846152
content,0.0,0.0,1.0,0.0
criticism,0.5714285714285713,0.23809523809523808,0.28571428571428564,0.3333333333333332
disagreement,0.25,0.0,0.5,0.5
doubting,0.5714285714285713,0.857142857142857,0.7142857142857143,0.5714285714285713
praise,1.0,1.0,1.0,1.0
references,0.22222222222222227,0.0,0.22222222222222227,0.22222222222222227
sarcasm,1.0,1.0,0.0,0.0
statement,0.4375,0.875,0.65625,0.71875
vandalism,0.0,0.0,1.0,1.0
