type,LinearSVC,SGDClassifier,MultinomialNB
agreement,0.5,0.75,0.25
bot sign,1.0,1.0,1.0
content,0.625,0.5,0.75
coordinating,0.0,0.0,0.0
criticism,0.625,0.625,0.5625
disagreement,1.0,1.0,1.0
doubing,0.3333333333333333,0.3333333333333333,0.3333333333333333
praise,0.5,0.5,0.5
references,0.33333333333333326,0.33333333333333326,0.40000000000000013
reverts,1.0,1.0,1.0
spam,0.0,0.0,0.0
statement,0.3846153846153847,0.0769230769230769,0.3076923076923076
unknown,1.0,1.0,0.0
vandalism,0.0,0.0,0.6666666666666666
