type,f1random,f1NB,f1SGD,f1LinearSVC
agreement,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
content,0.5,0.6666666666666666,0.5,0.6666666666666666
coordinating,0.5,0.5,0.5,0.5
criticism,0.27272727272727265,0.4545454545454545,0.5454545454545453,0.5454545454545453
disagreement,0.20000000000000004,1.0,1.0,1.0
doubing,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
praise,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
references,0.25,0.375,0.25,0.3125
statement,0.375,0.3125,0.4375,0.4375
unknown,1.0,1.0,0.0,0.0
vandalism,0.0,0.5,0.5,0.5
