type,A,k,against,neutral,favor
acknowledge,0.0,,,,1.0
agreement,0.8085106382978723,0.0,,,47.0
authority,1.0,,,1.0,
content,0.0,0.22911051212937983,10.0,1.0,11.0
coordinating,0.0,0.0,,7.0,
criticism,0.8936170212765957,0.48051948051948096,63.0,14.0,17.0
disagreement,0.8235294117647058,0.0,17.0,,
doubing,0.9230769230769231,0.17721518987341772,2.0,10.0,1.0
doubting,0.875,-0.05263157894736836,,15.0,1.0
grammatical,1.0,0.0,1.0,,
insulting,1.0,0.0,,3.0,
praise,1.0,0.5999999999999999,,3.0,7.0
references,0.8958333333333334,0.7360824742268047,19.0,9.0,20.0
reverts,0.0,,2.0,,
sarcasm,0.0,,,1.0,
spam,0.0,0.0,1.0,,
statement,0.673469387755102,0.4622770919067209,2.0,91.0,5.0
vandalism,0.8571428571428571,0.75,3.0,1.0,3.0
