type,A,k,against,neutral,favor
acknowledge,1.0,,,,1.0
agreement,0.8297872340425532,0.0,,,47.0
authority,1.0,,,1.0,
content,0.4090909090909091,0.22911051212937983,10.0,1.0,11.0
coordinating,0.8571428571428571,0.0,,7.0,
criticism,0.7872340425531915,0.48051948051948096,63.0,14.0,17.0
disagreement,0.9411764705882353,0.0,17.0,,
doubing,0.6153846153846154,0.17721518987341772,2.0,10.0,1.0
doubting,0.6875,-0.05263157894736836,,15.0,1.0
grammatical,0.0,0.0,1.0,,
insulting,0.6666666666666666,0.0,,3.0,
praise,0.8,0.5999999999999999,,3.0,7.0
references,0.8333333333333334,0.7360824742268047,19.0,9.0,20.0
reverts,1.0,,2.0,,
sarcasm,1.0,,,1.0,
spam,0.0,0.0,1.0,,
statement,0.8775510204081632,0.4622770919067209,2.0,91.0,5.0
vandalism,0.8571428571428571,0.75,3.0,1.0,3.0
